"Fon Kodu","Fon Adı","Şemsiye Fon Türü","1 Ay (%)","3 Ay (%)","6 Ay (%)","Yılbaşı (%)","1 Yıl (%)","3 Yıl (%)","5 Yıl (%)"
"GSM","INVEO PORTFÖY SİLVER CAPİTAL SERBEST ÖZEL FON","Serbest Şemsiye Fonu","2.347,7710","2.447,5579","2.564,9402","2.322,2283","2.953,9947","4.142,7706","-"
"GAN","INVEO PORTFÖY ALFON SERBEST FON","Serbest Şemsiye Fonu","-9,7115","0,3816","223,9283","1,6933","756,6219","1.073,6750","-"
"GJM","GLOBAL MD PORTFÖY ADA SERBEST FON","Serbest Şemsiye Fonu","30,5664","100,6808","204,1117","5,2672","516,9087","-","-"
"HMK","HEDEF PORTFÖY EGE HİSSE SENEDİ SERBEST FON(HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","6,9877","53,2328","186,2925","-3,1424","483,9466","-","-"
"HPI","HEDEF PORTFÖY İDEAL HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","19,4777","90,5758","172,4878","-6,4502","475,6986","-","-"
"GZN","GLOBAL MD PORTFÖY BOĞAZİÇİ SERBEST FON","Serbest Şemsiye Fonu","20,5870","80,1675","172,9500","2,8971","397,5294","-","-"
"MJK","MEKSA PORTFÖY KARDELEN SERBEST FON","Serbest Şemsiye Fonu","11,3888","56,1952","158,3274","-1,9229","395,1331","-","-"
"HPZ","HEDEF PORTFÖY ZEN HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN)","Serbest Şemsiye Fonu","0,9084","66,0229","195,3158","-3,7500","391,0615","-","-"
"UGL","HEDEF PORTFÖY ZÜMRÜT HİSSE SENEDİ SERBEST (TL) ÖZEL FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","40,7813","55,8545","73,3576","-5,6743","359,3897","-","-"
"PPD","PERFORM PORTFÖY HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","1,9074","63,2249","173,0093","-3,2393","353,2223","-","-"
"TLY","TERA PORTFÖY BİRİNCİ SERBEST FON","Serbest Şemsiye Fonu","73,4902","128,3035","347,9669","15,5961","346,9720","-","-"
"HDH","HEDEF PORTFÖY DOĞU HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","-10,4164","102,1204","250,9022","-6,5776","343,4656","9.032,6783","-"
"TNS","TACİRLER PORTFÖY NAR SERBEST FON","Serbest Şemsiye Fonu","19,8883","107,4289","194,0506","-1,6844","294,5366","-","-"
"GOH","GARANTİ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","0,3558","74,9139","149,0648","-3,5488","290,2324","-","-"
"NBH","NEO PORTFÖY İKİNCİ SERBEST FON","Serbest Şemsiye Fonu","14,2056","39,0834","54,7854","0,1262","284,4964","-","-"
"ZJL","ZİRAAT PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","6,2178","87,5525","173,9428","-3,9522","278,3805","-","-"
"MAC","MARMARA CAPITAL PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","13,5325","80,0604","197,6430","1,0039","276,0226","879,2896","1.549,4491"
"ST1","STRATEJİ PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","11,8320","88,5285","197,4639","-1,6613","270,1642","689,9725","1.121,3779"
"ICF","ICBC TURKEY PORTFÖY HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","14,5703","68,5807","171,5870","1,0342","260,7677","492,7388","583,3840"
"TLH","AURA PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","13,5375","78,3422","169,2322","-1,6531","257,1099","453,4751","470,6802"
"IZZ","İŞ PORTFÖY CORTİNA SERBEST ÖZEL FON","Serbest Şemsiye Fonu","11,5561","58,5943","142,7873","1,1651","256,7614","-","-"
"ZJV","ZİRAAT PORTFÖY BIST 30 DIŞI YILDIZ PAZAR ŞİRKETLERİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","9,2284","85,0031","176,2013","-3,6656","253,8485","-","-"
"ATJ","AZİMUT PORTFÖY ÇINAR SERBEST (TL) ÖZEL FON","Serbest Şemsiye Fonu","27,3692","88,7297","164,8729","7,2127","252,9902","521,5313","-"
"MAS","MARMARA CAPİTAL PORTFÖY HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","6,6033","67,5878","186,2521","-0,9978","244,5916","-","-"
"TPR","İŞ PORTFÖY PY HİSSE SENEDİ (TL) ÖZEL FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","11,8176","63,7002","150,7409","0,1565","236,5350","545,9333","586,6682"
"TLZ","ATA PORTFÖY ANALİZ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","7,1499","71,7519","141,3867","0,5541","235,5843","463,4588","-"
"AHI","ATLAS PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN)","Hisse Senedi Şemsiye Fonu","-6,3481","52,2975","145,9923","-5,5862","234,9663","639,4718","724,9178"
"TNH","TACİRLER PORTFÖY REAL CAPİTAL SERBEST ÖZEL FON","Serbest Şemsiye Fonu","21,3027","90,2524","172,5367","-0,4987","234,6379","-","-"
"AIH","AK PORTFÖY RTH SERBEST ÖZEL FON","Serbest Şemsiye Fonu","4,7176","92,9159","120,9121","-2,9859","229,9741","198,9036","341,3300"
"NNF","HEDEF PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","8,0233","54,5399","131,8043","-2,6086","224,7996","-","-"
"ZLH","ZİRAAT PORTFÖY BIST 100-30 ŞİRKETLERİ HİSSE SENEDİ FONU ( HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","9,9839","77,0063","163,5885","-0,0032","224,4667","-","-"
"OPH","OSMANLI PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","8,0414","76,3095","159,0315","-1,4408","223,2917","-","-"
"ACC","İSTANBUL PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN)","Hisse Senedi Şemsiye Fonu","12,6010","64,1786","137,1348","0,0830","222,2142","479,5449","882,0518"
"GMR","INVEO PORTFÖY İKİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","12,8787","75,5323","166,0705","-0,9685","219,5479","732,6851","1.167,8401"
"TI2","İŞ PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","11,0234","59,1972","139,4731","-0,3288","217,6985","426,7111","446,1757"
"HMS","HSBC PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","12,2264","53,5584","146,2738","0,2486","216,1458","-","-"
"TZD","ZİRAAT PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","8,1701","63,6495","149,8943","-1,3630","214,8561","443,5026","484,7028"
"MAD","MEKSA PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","12,0415","62,9191","167,9626","-1,3696","214,3530","276,2201","427,5090"
"HVS","HSBC PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","9,1092","50,3877","129,5675","-0,6778","214,2314","614,8686","928,6343"
